               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092449,            0.045775,                   0,             0.46775,             0.40237,             0.40213,             0.18073,             0.06482,            0.026544,                   0,             0.07075,             0.00325,             0.00325
                   1,            0.065204,             0.04083,                   0,             0.56704,             0.57396,             0.55456,             0.32315,            0.063257,            0.016892,                   0,            0.040728,           0.0065616,           0.0065616
                   2,            0.059945,            0.034436,                   0,             0.80192,             0.57396,             0.70984,             0.33301,            0.059129,            0.017266,                   0,            0.010685,           0.0098512,           0.0098512
                   3,            0.054019,            0.030274,                   0,             0.45273,             0.71006,             0.49421,             0.29669,            0.050985,            0.014914,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.047423,            0.028798,                   0,             0.69039,              0.7574,             0.69614,              0.4013,            0.050306,            0.013491,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.044731,            0.029169,                   0,             0.75401,             0.81617,             0.74874,             0.51602,            0.041986,            0.013583,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.042768,              0.0284,                   0,             0.83502,              0.8086,             0.80367,             0.53764,            0.043004,             0.01285,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.039881,            0.026474,                   0,             0.83014,             0.78077,             0.77141,              0.5673,            0.042828,            0.014016,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.038478,            0.026934,                   0,             0.78104,             0.80204,             0.78572,             0.53938,            0.042356,            0.013399,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.038424,            0.024831,                   0,             0.80714,             0.78698,             0.79263,             0.51316,            0.042549,            0.014468,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.037508,            0.025704,                   0,             0.81337,             0.82521,             0.80307,             0.56865,            0.040739,            0.013563,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.036728,            0.026057,                   0,             0.79266,             0.76911,             0.79973,              0.5988,            0.038315,            0.013831,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.035684,            0.025294,                   0,             0.81336,             0.81065,             0.80392,             0.61215,            0.037077,            0.013526,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.034976,            0.025263,                   0,             0.83718,             0.71598,             0.76029,             0.56701,            0.037933,            0.015302,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.033513,            0.024812,                   0,             0.81331,             0.79882,             0.79377,             0.59326,            0.037007,            0.013769,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.033202,            0.023815,                   0,             0.81922,             0.79882,             0.80823,             0.60385,            0.038235,            0.013963,                   0,            0.009538,            0.009538,            0.009538
                  16,              0.0332,            0.023173,                   0,             0.86513,             0.77515,             0.80311,             0.61307,             0.03774,            0.014051,                   0,            0.009505,            0.009505,            0.009505
