               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066483,             0.03948,            0.037694,             0.33722,             0.72512,             0.59712,             0.29927,            0.045162,            0.014453,            0.022943,            0.070082,           0.0033243,           0.0033243
                   1,            0.049585,            0.029194,            0.014099,             0.84199,             0.70011,              0.7996,              0.4041,            0.044216,            0.012284,           0.0079228,            0.040016,           0.0065917,           0.0065917
                   2,            0.044779,            0.027464,           0.0096388,             0.86063,             0.84402,             0.85429,             0.45508,            0.039545,            0.011968,           0.0053402,           0.0098837,           0.0097931,           0.0097931
                   3,             0.04043,            0.026785,           0.0087504,             0.91454,             0.73839,             0.74849,             0.36251,            0.041754,            0.012697,           0.0054281,            0.009703,            0.009703,            0.009703
                   4,            0.037416,            0.026039,           0.0077854,             0.93321,             0.82817,             0.85722,             0.41549,            0.037248,            0.011963,           0.0045823,            0.009703,            0.009703,            0.009703
                   5,            0.035195,             0.02546,           0.0072312,             0.87588,             0.84829,             0.85208,             0.43526,            0.036569,            0.011848,           0.0044301,            0.009604,            0.009604,            0.009604
                   6,            0.033711,            0.024662,           0.0066738,             0.92537,             0.75896,             0.85871,             0.50904,            0.030366,            0.011286,           0.0044279,            0.009505,            0.009505,            0.009505
                   7,            0.032758,            0.024343,           0.0062363,             0.91917,             0.75041,             0.85212,             0.52898,            0.027564,            0.010827,           0.0046016,            0.009406,            0.009406,            0.009406
                   8,            0.031845,            0.024319,            0.005954,             0.72617,             0.86736,              0.7943,             0.45501,            0.033993,            0.011555,           0.0043153,            0.009307,            0.009307,            0.009307
                   9,            0.031174,             0.02379,           0.0058226,             0.82939,             0.79683,             0.80983,             0.42448,            0.036201,            0.012559,           0.0046466,            0.009208,            0.009208,            0.009208
                  10,            0.030559,            0.023424,           0.0056582,             0.80699,              0.8534,             0.86045,             0.54291,            0.030798,            0.011539,            0.004089,            0.009109,            0.009109,            0.009109
                  11,            0.030245,            0.023412,           0.0053795,             0.90186,             0.86213,             0.86164,             0.55247,            0.030013,            0.010773,           0.0040646,             0.00901,             0.00901,             0.00901
                  12,            0.029329,            0.022648,           0.0053162,             0.86903,             0.83838,             0.85792,             0.53083,            0.027011,            0.010763,            0.004242,            0.008911,            0.008911,            0.008911
